[2025-07-18 13:42:18] MNTUSDT (linear) - 4.6x, цена: 0.775, Объем: 1,006,546 USD
[2025-07-18 13:42:14] MBLUSDT (linear) - 3.8x, цена: 0.002, Объем: 3,710,100 USD
[2025-07-18 13:42:13] KMNOUSDT (linear) - 5.5x, цена: 0.066, Объем: 1,179,130 USD
[2025-07-18 13:42:13] JUPUSDT (linear) - 3.1x, цена: 0.554, Объем: 1,983,416 USD
[2025-07-18 13:42:12] JASMYUSDT (linear) - 4.7x, цена: 0.018, Объем: 70,035,453 USD
[2025-07-18 13:42:12] HIFIUSDT (linear) - 7.7x, цена: 0.090, Объем: 1,671,724 USD
[2025-07-18 13:42:11] GRIFFAINUSDT (linear) - 3.4x, цена: 0.055, Объем: 8,156,990 USD
[2025-07-18 13:42:01] CUSDT (linear) - 8.9x, цена: 0.344, Объем: 13,136,308 USD
[2025-07-18 13:42:01] CELRUSDT (linear) - 4.7x, цена: 0.009, Объем: 2,666,254 USD
[2025-07-18 13:42:00] AVAILUSDT (linear) - 5.9x, цена: 0.019, Объем: 1,803,598 USD
[2025-07-18 13:42:00] ANKRUSDT (linear) - 5.8x, цена: 0.018, Объем: 2,933,636 USD
[2025-07-18 13:36:23] SCUSDT (linear) - 4.7x, цена: 0.004, Объем: 12,580,360 USD
[2025-07-18 13:36:22] HOMEUSDT (linear) - 3.3x, цена: 0.026, Объем: 3,780,050 USD
[2025-07-18 13:30:08] PORTALUSDT (linear) - 5.9x, цена: 0.063, Объем: 6,582,574 USD
[2025-07-18 13:30:08] GIGAUSDT (linear) - 3.3x, цена: 0.024, Объем: 13,007,380 USD
[2025-07-18 13:30:07] CUSDT (linear) - 7.7x, цена: 0.325, Объем: 11,310,375 USD
[2025-07-18 13:30:07] CROSSUSDT (linear) - 3.8x, цена: 0.299, Объем: 13,819,755 USD
[2025-07-18 13:22:59] C98USDT (linear) - 21.5x, цена: 0.061, Объем: 18,788,647 USD
[2025-07-18 13:16:41] KMNOUSDT (linear) - 12.3x, цена: 0.066, Объем: 2,637,930 USD
[2025-07-18 13:16:40] CROSSUSDT (linear) - 4.2x, цена: 0.322, Объем: 15,224,480 USD
[2025-07-18 13:16:40] C98USDT (linear) - 8.7x, цена: 0.059, Объем: 7,548,634 USD
[2025-07-18 13:16:39] BIGTIMEUSDT (linear) - 4.4x, цена: 0.064, Объем: 1,755,841 USD
[2025-07-18 13:16:39] AINUSDT (linear) - 3.2x, цена: 0.150, Объем: 2,826,730 USD
[2025-07-18 13:16:38] AERGOUSDT (linear) - 3.8x, цена: 0.126, Объем: 1,045,230 USD
[2025-07-18 13:08:36] SNTUSDT (linear) - 6.6x, цена: 0.033, Объем: 8,090,040 USD
[2025-07-18 13:08:35] SIGNUSDT (linear) - 3.2x, цена: 0.079, Объем: 1,134,680 USD
[2025-07-18 13:08:32] ORBSUSDT (linear) - 3.6x, цена: 0.021, Объем: 1,782,020 USD
[2025-07-18 13:08:32] MNTUSDT (linear) - 5.5x, цена: 0.783, Объем: 1,205,178 USD
[2025-07-18 13:08:31] MILKUSDT (linear) - 5.1x, цена: 0.049, Объем: 1,043,240 USD
[2025-07-18 13:08:31] LOOKSUSDT (linear) - 15.9x, цена: 0.013, Объем: 9,726,100 USD
[2025-07-18 13:08:30] FUSDT (linear) - 10.3x, цена: 0.009, Объем: 4,502,680 USD
[2025-07-18 13:08:29] CUSDT (linear) - 8.3x, цена: 0.303, Объем: 12,279,872 USD
[2025-07-18 13:03:02] PORTALUSDT (linear) - 3.1x, цена: 0.064, Объем: 3,419,081 USD
[2025-07-18 13:03:01] CROUSDT (linear) - 3.6x, цена: 0.121, Объем: 2,597,537 USD
[2025-07-18 13:03:01] CROSSUSDT (linear) - 3.8x, цена: 0.312, Объем: 13,860,696 USD
[2025-07-18 13:03:00] CFXUSDT (linear) - 5.8x, цена: 0.110, Объем: 2,747,550 USD
[2025-07-18 13:02:56] BIOUSDT (linear) - 4.0x, цена: 0.074, Объем: 1,793,721 USD
[2025-07-18 13:02:55] BIGTIMEUSDT (linear) - 5.1x, цена: 0.064, Объем: 2,041,763 USD
[2025-07-18 13:02:55] 1000LUNCUSDT (linear) - 4.9x, цена: 0.066, Объем: 1,925,259 USD
